Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000764 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000622 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000850 seconds
Method: GET, Path: /api/, View function: view, Status code: 200, Time taken: 0.003749 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000784 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.000499 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.001109 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000642 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.001306 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.001284 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000305 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000292 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000365 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000680 seconds
Method: GET, Path: /api/, View function: view, Status code: 200, Time taken: 0.003450 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000607 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.000488 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000465 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000325 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.001820 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000516 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000414 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000693 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000585 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000461 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000412 seconds
Method: GET, Path: /api/, View function: view, Status code: 200, Time taken: 0.003387 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.000527 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000709 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000451 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000476 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.001345 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000397 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.001571 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000516 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000493 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000539 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000558 seconds
Method: GET, Path: /static/rest_framework/js/ajax-form.js, View function: None, Status code: 404, Time taken: 0.000371 seconds
Method: GET, Path: /static/rest_framework/js/csrf.js, View function: None, Status code: 404, Time taken: 0.000322 seconds
Method: GET, Path: /static/rest_framework/js/bootstrap.min.js, View function: None, Status code: 404, Time taken: 0.000319 seconds
Method: GET, Path: /static/rest_framework/js/prettify-min.js, View function: None, Status code: 404, Time taken: 0.000378 seconds
Method: GET, Path: /static/rest_framework/js/default.js, View function: None, Status code: 404, Time taken: 0.000336 seconds
Method: GET, Path: /api/00, View function: None, Status code: 404, Time taken: 0.000640 seconds
Method: GET, Path: /api/, View function: view, Status code: 200, Time taken: 0.019700 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap.min.css, View function: None, Status code: 404, Time taken: 0.000963 seconds
Method: GET, Path: /static/rest_framework/css/prettify.css, View function: None, Status code: 404, Time taken: 0.000940 seconds
Method: GET, Path: /static/rest_framework/css/bootstrap-tweaks.css, View function: None, Status code: 404, Time taken: 0.000660 seconds
Method: GET, Path: /static/rest_framework/css/default.css, View function: None, Status code: 404, Time taken: 0.000911 seconds
Method: GET, Path: /static/rest_framework/js/jquery-3.5.1.min.js, View function: None, Status code: 404, Time taken: 0.000553 seconds
